id,injector_code,test_name,motor_speed,setted_pressure,adjusting_time,measurement_time,injection_rate,total_pulse_time,nominal_flow,flow_range,volt_ampere_profile,total_pulse_time2,shift
155,3172300,3,1000,1350,20,40,60,1050,,,,,
156,3172300,4,1000,1350,20,40,60,1050,52,57.69,,,
157,3172300,6,1000,1350,20,40,60,1050,57.2,12,,,
158,3172300,10,1000,800,20,40,60,800,28,21.9,,,
159,3172300,11,1000,800,40,60,60,220,3.2,70,,,
160,3172300,13,1000,300,20,40,60,600,7,60,,,
161,3264700,2,1000,1350,20,40,,0,,,,,
162,3264700,3,1000,1350,20,40,60,1050,,,,,
163,3264700,4,1000,1350,20,40,60,1050,52,57.69,,,
164,3264700,6,1000,1350,20,40,60,1050,57.2,12,,,
165,3264700,10,1000,800,20,40,60,800,28,21.9,,,
166,3264700,11,1000,800,40,60,60,220,3.2,70,,,
167,3264700,13,1000,300,20,40,60,600,7,60,,,
168,8603177,2,1000,1350,20,40,,0,,,,,
169,8603177,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
170,8603177,4,1000,1350,20,40,60,810,38,70,,,
171,8603177,5,1000,250,20,60,60,540,5.0,60,,,
172,8603177,6,1000,1600,20,40,60,1200,66.8,15,,,
173,8603177,10,1000,1200,20,40,60,600,30.5,30,,,
174,8603177,11,1000,800,40,90,60,160,2.5,85,,,
175,8603177,13,1000,250,20,60,60,540,4.9,50,,,
176,8603319,2,1000,1350,20,40,,0,,,,,
177,8603319,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
178,8603319,4,1000,1350,20,40,60,810,38,70,,,
179,8603319,5,1000,250,20,60,60,540,5.0,60,,,
180,8603319,6,1000,1600,20,40,60,1200,66.8,15,,,
181,8603319,10,1000,1200,20,40,60,600,30.5,30,,,
182,8603319,11,1000,800,40,90,60,160,2.5,85,,,
183,8603319,13,1000,250,20,60,60,540,4.9,50,,,
184,8603564,2,1000,1350,20,40,,0,,,,,
185,8603564,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
186,8603564,4,1000,1350,20,40,60,810,38,70,,,
187,8603564,5,1000,250,20,60,60,540,5.0,60,,,
188,8603564,6,1000,1600,20,40,60,1200,66.8,15,,,
189,8603564,10,1000,1200,20,40,60,600,30.5,30,,,
190,8603564,11,1000,800,40,90,60,160,2.5,85,,,
191,8603564,13,1000,250,20,60,60,540,4.9,50,,,
192,8603565,2,1000,1350,20,40,,0,,,,,
193,8603565,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
194,8603565,4,1000,1350,20,40,60,810,38,70,,,
195,8603565,5,1000,250,20,60,60,540,5.0,60,,,
196,8603565,6,1000,1600,20,40,60,1200,66.8,15,,,
197,8603565,10,1000,1200,20,40,60,600,30.5,30,,,
198,8603565,11,1000,800,40,90,60,160,2.5,85,,,
199,8603565,13,1000,250,20,60,60,540,4.9,50,,,
200,18112616,2,1000,1350,20,40,,0,,,,,
201,18112616,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
202,18112616,4,1000,1350,20,40,60,810,30,70,,,
203,18112616,5,1000,250,20,60,60,540,5.0,60,,,
204,18112616,6,1000,1600,20,40,60,1200,65.8,15,,,
205,18112616,10,1000,1200,20,40,60,600,34.5,30,,,
206,18112616,11,1000,800,40,90,60,160,1.6,85,,,
207,18112616,13,1000,250,20,40,60,540,6.5,50,,,
208,28229873,2,1000,1350,20,40,,0,,,,,
209,28229873,3,1000,1600,20,40,60,800,,,,,
210,28229873,4,1000,1600,20,40,60,800,26,53.85,,,
211,28229873,14,1000,1600,20,40,60,1415,79.50,12.45,,,
212,28229873,15,1000,1600,20,40,60,302,5.29,80,,,
213,28229873,16,1000,1600,40,90,120,263,1.56,86.05,,,
214,28229873,17,1000,1600,20,40,60,922,54.38,12.14,,,
215,28229873,18,1000,1600,20,40,60,634,36.20,17.68,,,
216,28229873,19,1000,1600,20,40,60,378,9.09,36.3,,,
217,28229873,20,1000,1600,40,90,60,276,2.04,73.53,,,
218,28229873,21,1000,800,20,40,60,1530,60.40,13.25,,,
219,28229873,22,1000,800,40,90,60,334,2.88,79.86,,,
220,28229873,23,1000,800,20,40,60,1390,54.89,12.15,,,
221,28229873,24,1000,800,20,40,60,858,35.04,15.98,,,
222,28229873,25,1000,800,20,40,60,478,8.81,38.59,,,
223,28229873,26,1000,800,20,60,60,359,4.94,72.87,,,
224,28229873,27,1000,400,20,40,60,1434,40.36,16.35,,,
225,28229873,28,1000,400,20,40,60,513,5.22,82.38,,,
226,28231014,2,1000,1350,20,40,,0,,,,,
227,28231014,3,1000,1600,20,40,60,800,,,,,
228,28231014,4,1000,1600,20,40,60,800,28,50,,,
229,28231014,14,1000,1600,20,40,60,1544,82.19,11.92,,,
230,28231014,15,1000,1600,20,60,60,314,3.62,77.35,,,
231,28231014,16,1000,1600,20,60,60,241,3.05,89.17,,,
232,28231014,17,1000,1600,20,40,60,920,55.60,16.19,,,
233,28231014,18,1000,1600,20,40,60,632,36.90,18.43,,,
234,28231014,19,1000,1600,20,40,60,378,7.38,54.2,,,
235,28231014,20,1000,1600,20,60,60,289,4.82,74.69,,,
236,28231014,21,1000,800,20,40,60,1530,60.54,15.53,,,
237,28231014,22,1000,800,40,90,60,311,2.48,80.65,,,
238,28231014,23,1000,800,20,40,60,1370,53.25,16.15,,,
239,28231014,24,1000,800,20,40,60,858,33.20,16.97,,,
240,28231014,25,1000,800,20,40,60,478,9.05,39.78,,,
241,28231014,26,1000,800,20,60,60,359,4.50,71.11,,,
242,28231014,27,1000,400,20,40,60,1486,33.98,17.07,,,
243,28231014,28,1000,400,20,60,60,513,3.60,80.56,,,
244,28231462,2,1000,1350,20,40,,0,,,,,
245,28231462,3,1000,1600,20,40,60,800,,,,,
246,28231462,4,1000,1600,20,40,60,800,30,40,,,
247,28231462,14,1000,1600,20,40,60,1460,46.1,10.41,,,
248,28231462,15,1000,1600,40,90,60,250,2.2,81.45,,,
249,28231462,16,1000,1600,40,90,60,218,1.29,85.71,,,
250,28231462,17,1000,1600,20,40,60,980,34.6,11.27,,,
251,28231462,18,1000,1600,20,40,60,634,26.02,17.29,,,
252,28231462,19,1000,1600,20,40,60,382,12.41,32.23,,,
253,28231462,20,1000,1600,20,60,60,282,3.98,72.86,,,
254,28231462,21,1000,800,20,40,60,1364,31.96,13.14,,,
255,28231462,22,1000,800,40,90,60,289,2.26,80,,,
256,28231462,23,1000,800,20,40,60,1268,30.52,18.02,,,
257,28231462,24,1000,800,20,40,60,858,23.22,15.5,,,
258,28231462,25,1000,800,20,40,60,510,11.02,45.37,,,
259,28231462,26,1000,800,20,40,60,350,5.45,67.62,,,
260,28231462,27,1000,400,20,40,60,1383,22.58,16.83,,,
261,28231462,28,1000,400,20,40,60,513,5.76,82.76,,,
262,28232234,2,1000,1350,20,40,,0,,,,,
263,28232234,3,1000,1600,20,40,60,800,,,,,
264,28232234,4,1000,1600,20,40,60,800,28,50,,,
265,28232234,14,1000,1600,20,40,60,1480,56.57,14.14,,,
266,28232234,15,1000,1600,40,90,60,276,1.45,80,,,
267,28232234,16,1000,1600,40,90,60,266,0.57,86.05,,,
268,28232234,17,1000,1600,20,40,60,1115,43.98,13.64,,,
269,28232234,18,1000,1600,20,40,60,632,26.43,17.4,,,
270,28232234,19,1000,1600,20,40,60,408,10.44,32.57,,,
271,28232234,20,1000,1600,20,60,60,324,4.0,70,,,
272,28232234,21,1000,800,20,40,60,1530,41.01,13.66,,,
273,28232234,22,1000,800,40,90,60,318,1.61,80,,,
274,28232234,23,1000,800,20,40,60,1249,35.72,12.88,,,
275,28232234,24,1000,800,20,40,60,833,25.40,16.54,,,
276,28232234,25,1000,800,20,40,60,529,10.10,39.6,,,
277,28232234,26,1000,800,20,40,60,388,5.09,66.8,,,
278,28232234,27,1000,400,20,40,60,1434,27.70,17.33,,,
279,28232234,28,1000,400,40,90,60,513,2.84,77.46,,,
280,28232242,2,1000,1350,20,40,,0,,,,,
281,28232242,3,1000,1350,20,40,60,808,,,,,
282,28232242,4,1000,1350,20,40,60,889,26.5,51,,,
283,28232242,14,1000,1400,20,40,60,1400,43.9,13,,,
284,28232242,15,1000,1400,20,40,60,303,5.78,41.52,,,
285,28232242,16,1000,1200,20,40,60,1400,40.7,15.23,,,
286,28232242,17,1000,1200,20,60,60,300,4.83,41.41,,,
287,28232242,18,1000,800,20,40,60,1200,29.00,12.41,,,
288,28232242,19,1000,800,40,90,60,305,2.4,75,,,
289,28232242,20,1000,230,20,40,60,1400,15.6,39.74,,,
290,28232242,21,1000,230,40,90,60,505,2.38,75.63,,,
291,28232248,2,1000,1350,20,40,,0,,,,,
292,28232248,3,1000,1350,20,40,60,809,,,,,
293,28232248,4,1000,1350,20,40,60,889,26.5,58,,,
294,28232248,14,1000,1600,20,40,60,1200,47.03,10.21,,,
295,28232248,15,1000,1600,20,40,60,303,7.30,35,,,
296,28232248,16,1000,1200,20,40,60,1200,42.92,14.91,,,
297,28232248,17,1000,1200,20,40,60,300,5.3,50.94,,,
298,28232248,18,1000,800,20,40,60,1200,33.2,14.76,,,
299,28232248,19,1000,800,40,90,60,305,2.97,63.97,,,
300,28232248,20,1000,230,20,40,60,1000,13.36,29.94,,,
301,28232248,21,1000,230,40,90,60,505,2.0,70,,,
302,28232251,2,1000,1350,20,40,,0,,,,,
303,28232251,3,1000,1350,20,40,60,809,,,,,
304,28232251,4,1000,1350,20,40,60,889,26.5,51,,,
305,28232251,14,1000,1600,20,40,60,1300,45.1,15,,,
306,28232251,15,1000,1600,20,60,60,302,4.5,50,,,
307,28232251,16,1000,1200,20,40,60,1300,40.8,10.54,,,
308,28232251,17,1000,1200,20,60,60,300,3.4,79.41,,,
309,28232251,18,1000,800,20,40,60,1300,32.3,14.86,,,
310,28232251,19,1000,800,20,40,60,500,7.0,50,,,
311,28232251,20,1000,230,20,40,60,1400,12.4,40,,,
312,28232251,21,1000,230,20,60,60,800,3.24,70.99,,,
313,28235143,2,1000,1350,20,40,,0,,,,,
314,28235143,3,1000,1600,20,40,60,800,,,,,
315,28235143,4,1000,1600,20,40,60,800,24.3,50,,,
316,28235143,14,1000,1600,20,40,60,1415,70.3,10.53,,,
317,28235143,15,1000,1600,40,90,60,260,2.76,79.71,,,
318,28235143,16,1000,1600,40,90,60,202,1.30,76.92,,,
319,28235143,17,1000,1600,20,40,60,1070,55.59,11.15,,,
320,28235143,18,1000,1600,20,40,60,634,35.5,17.46,,,
321,28235143,19,1000,1600,20,40,60,356,10.87,31.28,,,
322,28235143,20,1000,1600,20,60,60,250,4.43,72.23,,,
323,28235143,21,1000,800,20,40,60,1505,53.47,12.72,,,
324,28235143,22,1000,800,40,90,60,302,2.93,75.09,,,
325,28235143,23,1000,800,20,40,60,1390,49.46,10.92,,,
326,28235143,24,1000,800,20,40,60,878,33.81,15.68,,,
327,28235143,25,1000,800,20,40,60,471,10.90,38.53,,,
328,28235143,26,1000,800,20,40,60,343,5.75,66.09,,,
329,28235143,27,1000,400,20,40,60,1230,31.97,17.2,,,
330,28235143,28,1000,400,40,90,60,385,2.68,82.09,,,
331,28236381,2,1000,1350,20,40,,0,,,,,
332,28236381,3,1000,1600,20,40,60,800,,,,,
333,28236381,4,1000,1600,20,40,60,800,28,50,,,
334,28236381,14,1000,1600,20,40,60,1415,93.5,12.83,,,
335,28236381,15,1000,1600,20,40,60,323,5.29,80,,,
336,28236381,16,1000,1600,40,90,60,263,1.56,86.05,,,
337,28236381,17,1000,1600,20,40,60,922,54.38,12.14,,,
338,28236381,18,1000,1600,20,40,60,634,36.20,17.68,,,
339,28236381,19,1000,1600,20,40,60,378,8.36,32.23,,,
340,28236381,20,1000,1600,40,90,60,276,2.52,71.43,,,
341,28236381,21,1000,800,20,40,60,1470,71.2,14.04,,,
342,28236381,22,1000,800,40,90,60,334,2.53,80,,,
343,28236381,23,1000,800,20,40,60,1390,64.89,12.33,,,
344,28236381,24,1000,800,20,40,60,858,33.36,16.19,,,
345,28236381,25,1000,800,20,40,60,478,8.81,38.59,,,
346,28236381,26,1000,800,20,60,60,359,4.24,69.91,,,
347,28236381,27,1000,400,20,40,60,1434,38.97,16.94,,,
348,28236381,28,1000,400,20,40,60,513,5.22,82.38,,,
349,28237259,2,1000,1350,20,40,,0,,,,,
350,28237259,3,1000,1600,20,40,60,800,,,,,
351,28237259,4,1000,1600,20,40,60,800,28,50,,,
352,28237259,14,1000,1600,20,40,60,1480,56.57,14.14,,,
353,28237259,15,1000,1600,40,90,60,276,1.45,80,,,
354,28237259,16,1000,1600,40,90,60,266,0.57,86.05,,,
355,28237259,17,1000,1600,20,40,60,1115,43.98,13.64,,,
356,28237259,18,1000,1600,20,40,60,632,26.43,17.4,,,
357,28237259,19,1000,1600,20,40,60,408,10.44,32.57,,,
358,28237259,20,1000,1600,20,60,60,324,4.0,70,,,
359,28237259,21,1000,800,20,40,60,1530,41.01,13.66,,,
360,28237259,22,1000,800,40,90,60,318,1.61,80,,,
361,28237259,23,1000,800,20,40,60,1249,35.72,12.88,,,
362,28237259,24,1000,800,20,40,60,833,25.40,16.54,,,
363,28237259,25,1000,800,20,40,60,529,10.10,39.6,,,
364,28237259,26,1000,800,20,40,60,388,5.09,66.8,,,
365,28237259,27,1000,400,20,40,60,1434,27.70,17.33,,,
366,28237259,28,1000,400,40,90,60,513,2.84,77.46,,,
367,28239766,2,1000,1350,20,40,,0,,,,,
368,28239766,3,1000,1600,20,40,60,800,,,,,
369,28239766,4,1000,1600,20,40,60,800,30,40,,,
370,28239766,14,1000,1600,20,40,60,1320,82.9,10.86,,,
371,28239766,15,1000,1600,20,60,60,366,3.5,80,,,
372,28239766,16,1000,1600,40,90,60,308,2.52,83.33,,,
373,28239766,17,1000,1600,20,40,60,1102,73.6,12.23,,,
374,28239766,18,1000,1600,20,40,60,670,43.97,17.28,,,
375,28239766,19,1000,1600,20,40,60,510,8.6,45.35,,,
376,28239766,20,1000,1600,20,40,60,276,5.3,75.47,,,
377,28239766,21,1000,800,20,40,60,1204,57.45,13.58,,,
378,28239766,22,1000,800,40,90,60,308,2.50,76,,,
379,28239766,23,1000,800,20,40,60,1063,44.5,15.28,,,
380,28239766,24,1000,800,20,40,60,929,38.5,20.78,,,
381,28239766,25,1000,800,20,40,60,526,9.8,55.1,,,
382,28239766,26,1000,800,40,90,60,330,2.55,78.43,,,
383,28239766,27,1000,400,20,40,60,1281,42.9,16.32,,,
384,28239766,28,1000,400,40,90,60,410,2.60,84.62,,,
385,28239769,2,1000,1350,20,40,,0,,,,,
386,28239769,3,1000,1600,20,40,60,800,,,,,
387,28239769,4,1000,1600,20,40,60,800,28,50,,,
388,28239769,14,1000,1600,20,40,60,1378,80.20,11.22,,,
389,28239769,15,1000,1600,20,60,60,238,4.02,79.6,,,
390,28239769,16,1000,1600,40,90,60,270,1.08,90,,,
391,28239769,17,1000,1600,20,40,60,920,57.30,11.52,,,
392,28239769,18,1000,1600,20,40,60,632,34.68,17.88,,,
393,28239769,19,1000,1600,20,40,60,378,6.74,38.58,,,
394,28239769,20,1000,1600,20,60,60,289,3.83,67.89,,,
395,28239769,21,1000,800,20,40,60,1530,60.70,12.85,,,
396,28239769,22,1000,800,40,90,60,302,1.90,84.21,,,
397,28239769,23,1000,800,20,40,60,1370,54.58,12.46,,,
398,28239769,24,1000,800,20,40,60,858,32.00,16.88,,,
399,28239769,25,1000,800,20,40,60,478,8.32,38.46,,,
400,28239769,26,1000,800,20,60,60,359,4.80,70.83,,,
401,28239769,27,1000,400,20,40,60,1383,39.83,17.07,,,
402,28239769,28,1000,400,20,60,60,513,4.86,82.3,,,
403,28242659,2,1000,1350,20,40,,0,,,,,
404,28242659,3,1000,1500,20,40,60,649,,,,,
405,28242659,4,1000,1400,20,40,60,649,30,67,,,
406,28242659,14,1000,1600,20,40,60,1400,72.1,9.71,,,
407,28242659,15,1000,1600,20,40,60,400,7.0,40,,,
408,28242659,16,1000,1200,20,40,60,1400,64.2,10.12,,,
409,28242659,17,1000,1200,20,40,60,404,5.6,60,,,
410,28242659,18,1000,800,20,40,60,1400,49.2,10,,,
411,28242659,19,1000,800,20,60,60,450,4.1,60,,,
412,28242659,20,1000,230,20,40,60,1400,18.5,40,,,
413,28242659,21,1000,230,20,60,60,800,4.1,70,,,
414,28258683,2,1000,1350,20,40,,0,,,,,
415,28258683,3,1000,1600,20,40,60,650,,,,,
416,28258683,4,1000,1600,20,40,60,1000,22.5,80,,,
417,28258683,14,1000,1600,20,40,60,1600,141.32,9.91,,,
418,28258683,15,1000,1600,40,90,60,331,2.79,80,,,
419,28258683,16,1000,1200,20,40,60,1700,131.89,9.1,,,
420,28258683,17,1000,1200,20,60,60,348,4.76,69.33,,,
421,28258683,18,1000,800,20,40,60,1900,112.78,9.75,,,
422,28258683,19,1000,800,20,60,60,398,4.08,78.43,,,
423,28258683,20,1000,230,20,40,60,1400,20.58,18.46,,,
424,28258683,21,1000,230,40,90,60,800,2.61,84.29,,,
425,28264951,2,1000,1350,20,40,,0,,,,,
426,28264951,3,1000,1600,20,40,60,800,,,,,
427,28264951,4,1000,1600,20,40,60,800,30,40,,,
428,28264951,14,1000,1600,20,40,60,1320,82.9,10.86,,,
429,28264951,15,1000,1600,20,60,60,366,3.5,80,,,
430,28264951,16,1000,1600,40,90,60,308,2.52,83.33,,,
431,28264951,17,1000,1600,20,40,60,1102,73.6,12.23,,,
432,28264951,18,1000,1600,20,40,60,670,43.97,17.28,,,
433,28264951,19,1000,1600,20,40,60,510,8.6,45.35,,,
434,28264951,20,1000,1600,20,40,60,276,5.3,75.47,,,
435,28264951,21,1000,800,20,40,60,1204,57.45,13.58,,,
436,28264951,22,1000,800,40,90,60,308,2.50,76,,,
437,28264951,23,1000,800,20,40,60,1063,44.5,15.28,,,
438,28264951,24,1000,800,20,40,60,929,38.5,20.78,,,
439,28264951,25,1000,800,20,40,60,526,9.8,55.1,,,
440,28264951,26,1000,800,40,90,60,330,2.55,78.43,,,
441,28264951,27,1000,400,20,40,60,1281,42.9,16.32,,,
442,28264951,28,1000,400,40,90,60,410,2.60,84.62,,,
443,28264952,2,1000,1350,20,40,,0,,,,,
444,28264952,3,1000,1600,20,40,60,800,,,,,
